date,f
2020-04-15,-1.485905
2020-04-16,-1.500305
2020-04-17,-1.514705
2020-04-18,-1.5291050000000002
2020-04-19,-1.5435050000000001
2020-04-20,-1.557905
2020-04-21,-1.572305
2020-04-22,-1.5860314285714285
2020-04-23,-1.5997578571428572
2020-04-24,-1.6134842857142857
2020-04-25,-1.6272107142857144
2020-04-26,-1.6409371428571429
2020-04-27,-1.6546635714285716
2020-04-28,-1.66839
2020-04-29,-1.6710457142857142
2020-04-30,-1.6737014285714287
2020-05-01,-1.6763571428571429
2020-05-02,-1.6790128571428573
2020-05-03,-1.6816685714285715
2020-05-04,-1.684324285714286
2020-05-05,-1.6869800000000001
2020-05-06,-1.68693
2020-05-07,-1.6868800000000002
2020-05-08,-1.68683
2020-05-09,-1.6867800000000002
2020-05-10,-1.68673
2020-05-11,-1.6866800000000002
2020-05-12,-1.68663
2020-05-13,-1.6797414285714287
2020-05-14,-1.6728528571428571
2020-05-15,-1.6659642857142858
2020-05-16,-1.6590757142857142
2020-05-17,-1.6521871428571429
2020-05-18,-1.6452985714285713
2020-05-19,-1.63841
2020-05-20,-1.6260042857142856
2020-05-21,-1.6135985714285714
2020-05-22,-1.601192857142857
2020-05-23,-1.5887871428571427
2020-05-24,-1.5763814285714284
2020-05-25,-1.5639757142857142
2020-05-26,-1.55157
2020-05-27,-1.5403499999999999
2020-05-28,-1.5291299999999999
2020-05-29,-1.5179099999999999
2020-05-30,-1.50669
2020-05-31,-1.49547
2020-06-01,-1.48425
2020-06-02,-1.47303
2020-06-03,-1.460902142857143
2020-06-04,-1.4487742857142858
2020-06-05,-1.4366464285714287
2020-06-06,-1.4245185714285715
2020-06-07,-1.4123907142857144
2020-06-08,-1.4002628571428573
2020-06-09,-1.3881350000000001
2020-06-10,-1.3774028571428572
2020-06-11,-1.3666707142857144
2020-06-12,-1.3559385714285714
2020-06-13,-1.3452064285714287
2020-06-14,-1.3344742857142857
2020-06-15,-1.323742142857143
2020-06-16,-1.31301
2020-06-17,-1.3002721428571429
2020-06-18,-1.2875342857142857
2020-06-19,-1.2747964285714286
2020-06-20,-1.2620585714285713
2020-06-21,-1.2493207142857141
2020-06-22,-1.236582857142857
2020-06-23,-1.2238449999999998
2020-06-24,-1.217062857142857
2020-06-25,-1.2102807142857142
2020-06-26,-1.2034985714285713
2020-06-27,-1.1967164285714285
2020-06-28,-1.1899342857142856
2020-06-29,-1.1831521428571428
2020-06-30,-1.17637
2020-07-01,-1.1716978571428571
2020-07-02,-1.1670257142857141
2020-07-03,-1.1623535714285713
2020-07-04,-1.1576814285714285
2020-07-05,-1.1530092857142857
2020-07-06,-1.1483371428571427
2020-07-07,-1.143665
2020-07-08,-1.1358585714285714
2020-07-09,-1.1280521428571428
2020-07-10,-1.1202457142857143
2020-07-11,-1.1124392857142857
2020-07-12,-1.1046328571428572
2020-07-13,-1.0968264285714286
2020-07-14,-1.08902
2020-07-15,-1.080112142857143
2020-07-16,-1.0712042857142858
2020-07-17,-1.0622964285714287
2020-07-18,-1.0533885714285713
2020-07-19,-1.0444807142857142
2020-07-20,-1.035572857142857
2020-07-21,-1.026665
2020-07-22,-1.0175012857142858
2020-07-23,-1.0083375714285714
2020-07-24,-0.9991738571428571
2020-07-25,-0.9900101428571428
2020-07-26,-0.9808464285714286
2020-07-27,-0.9716827142857143
2020-07-28,-0.962519
2020-07-29,-0.9539899285714286
2020-07-30,-0.9454608571428571
2020-07-31,-0.9369317857142857
2020-08-01,-0.9284027142857143
2020-08-02,-0.9198736428571429
2020-08-03,-0.9113445714285714
2020-08-04,-0.9028155
2020-08-05,-0.893433
2020-08-06,-0.8840505
2020-08-07,-0.874668
2020-08-08,-0.8652854999999999
2020-08-09,-0.855903
2020-08-10,-0.8465204999999999
2020-08-11,-0.8371379999999999
2020-08-12,-0.8242478571428571
2020-08-13,-0.8113577142857142
2020-08-14,-0.7984675714285714
2020-08-15,-0.7855774285714285
2020-08-16,-0.7726872857142857
2020-08-17,-0.7597971428571428
2020-08-18,-0.746907
2020-08-19,-0.7317144285714285
2020-08-20,-0.7165218571428571
2020-08-21,-0.7013292857142857
2020-08-22,-0.6861367142857143
2020-08-23,-0.6709441428571429
2020-08-24,-0.6557515714285714
2020-08-25,-0.640559
2020-08-26,-0.6317553571428571
2020-08-27,-0.6229517142857143
2020-08-28,-0.6141480714285714
2020-08-29,-0.6053444285714286
2020-08-30,-0.5965407857142857
2020-08-31,-0.5877371428571428
2020-09-01,-0.5789335
2020-09-02,-0.5675599285714286
2020-09-03,-0.5561863571428571
2020-09-04,-0.5448127857142857
2020-09-05,-0.5334392142857143
2020-09-06,-0.5220656428571429
2020-09-07,-0.5106920714285714
2020-09-08,-0.4993185
2020-09-09,-0.4901402857142857
2020-09-10,-0.48096207142857145
2020-09-11,-0.47178385714285714
2020-09-12,-0.46260564285714284
2020-09-13,-0.45342742857142854
2020-09-14,-0.4442492142857143
2020-09-15,-0.435071
2020-09-16,-0.42443364285714286
2020-09-17,-0.4137962857142857
2020-09-18,-0.4031589285714286
2020-09-19,-0.39252157142857147
2020-09-20,-0.3818842142857143
2020-09-21,-0.37124685714285716
2020-09-22,-0.3606095
2020-09-23,-0.3526582142857143
2020-09-24,-0.3447069285714286
2020-09-25,-0.3367556428571429
2020-09-26,-0.32880435714285716
2020-09-27,-0.32085307142857145
2020-09-28,-0.31290178571428573
2020-09-29,-0.3049505
2020-09-30,-0.2837475
2020-10-01,-0.2625445
2020-10-02,-0.2413415
2020-10-03,-0.22013850000000001
2020-10-04,-0.1989355
2020-10-05,-0.1777325
2020-10-06,-0.1565295
2020-10-07,-0.14432267142857141
2020-10-08,-0.13211584285714284
2020-10-09,-0.11990901428571428
2020-10-10,-0.10770218571428572
2020-10-11,-0.09549535714285715
2020-10-12,-0.08328852857142857
2020-10-13,-0.0710817
2020-10-14,-0.06260049285714285
2020-10-15,-0.05411928571428572
2020-10-16,-0.04563807857142857
2020-10-17,-0.03715687142857143
2020-10-18,-0.028675664285714282
2020-10-19,-0.02019445714285715
2020-10-20,-0.011713250000000001
2020-10-21,-0.004774014285714287
2020-10-22,0.0021652214285714268
2020-10-23,0.009104457142857143
2020-10-24,0.016043692857142855
2020-10-25,0.02298292857142857
2020-10-26,0.029922164285714287
2020-10-27,0.0368614
2020-10-28,0.03933697857142857
2020-10-29,0.04181255714285714
2020-10-30,0.04428813571428571
2020-10-31,0.046763714285714283
